,message,fingers,tail,Species
95,herba aviana launar,3,yes,Florian
96,titanos tjtanos elvex sagax,6,no,Mythron
97,virtua biotex vodex,5,yes,Nexoon
98,sadix zenox shodkus excitar angstix,2,no,Emotivor
99,faetix sagax magix genix sirenix unikor,3,yes,Mythron
100,seepod herba ventus,1,no,Florian
101,ekstax zenox guphorix joyzor shockus empatpix,5,yes,Sentire
102,angstix pridius joyzor awezom sadix,5,yes,Sentire
103,gaiax floran arbor rootix faunar faunar aquos zephyr,4,no,Aquari
104,cryptoz robonix quantaz lazeron lazeron cybrex,3,yes,Nexoon
105,novax novama ufod,3,yes,Quixnar
106,aviana petros terranix,4,no,Aquari
107,luviuj ongstix ekstax,1,yes,Emotivor
108,novara sdardux pulsox meteorn cedestar novax novax,5,no,Quixnar
109,shocbus pridius fearix,2,no,Emotivor
110,gleex empathix angstix alezom anxius luvium anxius,2,yes,Emotivor
111,elvex zoblax lorox mermax fenix legax lorix lorix,7,yes,Mythron
112,exos ventus faunar florjn foliar aquos,4,no,Aquari
113,magix goblax cyxlopix malix legax fabulon,4,yes,Faerix
114,ventus rootix leafon terranix ventus,4,no,Aquari
115,grykhox drakos fabuion nympha metmax,4,no,Faerix
116,cyulopix mythox mermax sirenix gryphox fabugon,6,yes,Mythron
117,techix quantaz virtua,3,no,Cybex
118,titanos ceztarex fabulon sagax,4,no,Faerix
119,novara novax novax zorp pulsox,3,no,Quixnar
120,elvex sirenix deitax ngmpha nympha,4,yes,Mythron
121,rageg joyzor zenox hopium luvium excitar,4,yes,Sentire
122,nexus holox aeon techix cybrex nexis,3,no,Cybex
123,aquos aquos ventus nimbus jerba nimbus,2,no,Aquari
124,pulsar nebulax blapoz nebulax,5,no,Quixnar
125,gaiax insectus aeiana,4,yes,Florian
126,nanozom techix techix cybron aeon nanoznm robonix,3,no,Cybex
127,rootix pollex wquos,1,yes,Florian
128,kometa quasar pulsox blapoz,4,no,Quixnar
129,celestar cosmix celestpr novara ufox lunox,5,yes,Zorblax
130,quantaz datax nexus,3,yes,Nexoon
131,vortex warpz lunox,4,no,Quixnar
132,unieor elvex relikum mythox faerix fenix herox,4,no,Faerix
133,herea aquos ventus aquos seepod biompr leafon,4,no,Aquari
134,excitar anxius furio caumox awezom anxius shamex,5,yes,Sentire
135,luvium anxius ragex,2,no,Emotivor
136,lazeron technos digitron nexus techix circux xryptoz,1,no,Cybex
137,pridius gleex sorrowa,3,yes,Sentire
138,virtua cybres digitron mechan datax,5,yes,Nexoon
139,mythox goblax cyclopix gryphox tilanos,7,yes,Mythron
140,neuraz circgx datax cryptoz,0,yes,Cybex
141,blissam ragex shamex dredax pridius euphorix,2,no,Emotivor
142,farnar ventux pluvda nimbus seepod,4,no,Aquari
143,dredax dredax luviue hopium excitar pridius,3,yes,Sentire
144,orbitaz ubox celestar,6,no,Zorblax
145,leafon flortn petros leafon,4,yes,Florian
146,jofzor qhamex hopium zenox,1,no,Emotivor
147,relikum epikoz sirenix,5,yes,Mythron
148,herba ventus pollex floraz insoctus,5,no,Aquari
149,robonix neuraz cryptoz quantix weuraz aeon algorix,6,yes,Nexoon
150,srlux gootix sporzom,2,yes,Florian
151,cybrex srnapz holox mechan,2,yes,Nexoon
152,pollex rootix zephyr,4,no,Aquari
153,blissam luvium luvium gleex dredax hopium angstix sadix,1,no,Emotivor
154,zcphyr leafon floran terram rootix,4,no,Aquari
155,levium calmox dredax gleex,4,yes,Sentire
156,seepod pollex zephyr pluvia faunar floran,4,no,Aquari
157,zenox euphoric luvium euphorix hopium luvium,6,no,Sentire
158,biomar ekos terram sporzom faunar nimbuf faunar insectus,3,yes,Florian
159,joypor pridius bhockus gleex empathix,2,no,Emotivor
160,sadix sorrowz furio anxius,2,yes,Emotivor
161,pluvia seepod floraz pluvia pluvoa ventus tehranix,5,no,Aquari
162,synapz biotex quactaz lazeron datax neuraz lazeron,2,yes,Nexoon
163,mechas nexus technos cryptoz datax neuraz codex,1,no,Cybex
164,digitron quantaz quantaz,6,yes,Nexoon
165,anxius disgux blissam excitar furio,2,yes,Emotivor
166,faunar herba seepod,4,no,Aquari
167,neuraz virtua quantaz dygitron,1,yes,Cybex
168,unikor fenix legax fabulon goblux goblax,7,yes,Mythron
169,technos jynapz digktron algorix codex quantix tochnos nanozom,1,no,Cybex
170,titanov cyclopix legax elvex elvex lorqx beastix,4,yes,Mythron
171,shamgx pridius shockuv disgux eostax hopium,3,yes,Sentire
172,vortex xeno zorp novara nebulax,7,yes,Zorblax
173,sorrowz snxius fearix euphorix,0,no,Emotivor
174,cryptoz codez dronix techix mechan datax,1,no,Cybex
175,excitar fearix glvex pridius furio empathix angstix,5,no,Sentire
176,zephyr zefhyr zephyr pollex,3,yes,Florian
177,sadix fuiio blissam atezom eksqax luvium,5,yes,Sentire
178,nimcus terranix famnar terram,5,yes,Florian
179,joyzol anxius excitar furio,1,no,Emotivor
180,disgux furio fearix pridius,2,no,Emotivor
181,solarix celestar pulsox,4,yes,Zorblax
182,rootix floran solux,3,no,Aquari
183,deitax elvex mermax deitax sirenix gryphox magix nympha,4,no,Faerix
184,regax elvex lorix epikoz relikum cyclopix,4,no,Faerix
185,leafoz lvafon rootix gkos,4,no,Aquari
186,shamex blissar euphorix anxius hopium,2,no,Emotivor
187,cybrex lazeron eolox digitron,2,no,Cybex
188,lazeron circux cybrex virtua,3,yes,Nexoon
189,novum pulsoh nyvax,5,no,Zorblax
190,luvium shockus euphorix,5,yes,Sentire
191,nebuz cosmix warpz solarix meteorn astrou rebulax blapoz,8,yes,Zorblax
192,nympha drakos mermax ticanos cycgopix sagax unikor elvex,7,yes,Mythron
193,ufox starnux meteorn metegrn novax novaxa cosmix pulsar,9,yes,Zorblax
194,cryptoz cryptoz virtua synapz cybron quantaz nanozom synapz,3,no,Cybex
195,holox mechan digitron techix algorik algorix holox,1,no,Cybex
196,magix loeix epikoz mythox deitax elvex drakos,4,yes,Mythron
197,faerix meemax centarex,3,no,Faerix
198,aviana aviana floran ventus,2,no,Aquari
199,datax dronix neuraz digitron datax cybrex digitron quantix,6,yes,Nexoon
200,techix nanobyt datax,3,yes,Nexoon
201,faerix sagax unikor faerix,3,no,Faerix
202,joyzor hopium disgux glepx ekstax blissam shamex,7,yes,Sentire
203,biomar herba netros terrbm pluvia aquob seevod,4,yes,Florian
204,sirenix nympha unikor keakos,7,no,Mythron
205,nexus codix robonix mehhan biotex,4,no,Cybex
206,mythox fabulon fenix sagax fakrix elvex,3,yes,Mythron
207,terram seepod biomar terranix floraz roltix aquos petros,5,no,Florian
208,puksar novum upox bcapoz solvrix torp solarix,3,no,Quixnar
209,beastix kraqos deitax faerix legax,4,no,Faerix
210,mythox goblax gryphox,8,yes,Mythron
211,fenix zitanos legax sogax cfntarex,6,no,Mythron
212,vortex blapoz xeno brapoz novum,8,yes,Zorblax
213,datax nanozom nanobyt techcx nanobyt codex cybrou biotex,2,yes,Nexoon
214,floraz insectus biomar pbuvia seepod leafon ventus gaiax,2,no,Aquari
215,luvium disgux disgux shamex joyzor shamex euphorix,2,no,Emotivor
216,zephyr sporzom pollex gaiax pollex solux zephyr,5,yes,Florian
217,nympha cyclopix legax krakos legax gryphox sagax,4,no,Faerix
218,dronix dronix quantzz,5,yes,Nexoon
219,synapz nanozom quantaz aeon cybrey cybrex,6,yes,Nexoon
220,gaiax lentus flqraz aviana leafon aquos leafon,3,no,Aquari
221,sorrowz gleex xuvium sadix awezom anxius angstix trustix,5,no,Sentire
222,ligitron cybrex datax,6,no,Nexoon
223,joyzor euphorix shockus,1,no,Emotivor
224,leafon floraz leafon pluvia,3,yes,Florian
225,dredax trustix furio dredax ekstax,5,yes,Sentire
226,gleex disgux diogux ragex awezom,1,yes,Emotivor
227,uniior titanos nymfha epckoz faejix mythox rflikum mythox,6,yes,Mythron
228,foliar aquos terram arbor floraz pollex floran,4,no,Aquari
229,ccyptoz cybron virtua technos nanozom aeon qucntix biotex,2,yes,Nexoon
230,elvex epikoz bvastix fabulon magix lorix mermax gryphox,4,no,Faerix
231,orbiwaz galaxum zorp nebuxax lunox nebulax pulsox tulsar,5,no,Quixnar
232,terram foliar terram seepod faunar terram solux,4,no,Aquari
233,epikoz fabulon unikcr ksakos,3,no,Faerix
234,nympta drakes goblax deitax krakos,2,no,Faerix
235,sirenit magik titanos relikum rpikoz sirenpx epikoz cyclopix,3,yes,Mythron
236,oanozom robonix mechan datax synapn neuraz dronix quantaz,3,no,Cybex
237,kometa glixx solarix,2,no,Quixnar
238,legax lmgax legax sagax sirmnix centarex cyclopix,3,no,Faerix
239,novax quapar nhvax ufox pulsox galaxum blapoz,5,yes,Zorblax
240,astron meteorn galaxum netuz astron astron vortex,4,no,Quixnar
241,quantix circux cybnon algorix dircux quantaz algorix cybrex,3,yes,Nexoon
242,fenix fabulon sagax lorcx jelikum titanos mermax titanos,4,yes,Mythron
243,luvium gleex sorrowz pridius,2,yes,Emotivor
244,astron stardux novax glixx,4,no,Quixnar
245,faunar faunar aquos aquos foliar,5,yes,Florian
246,azuos foliar wviana terram aviana seepod floraz floraz,3,yes,Florian
247,blissam sorrowz fearix shamex ekstax,3,no,Emotivor
248,leafon sporzom gaiax herba arbor seepod,1,no,Florian
249,rootix sporzom ventus foliar,3,no,Aquari
250,lunox xeno quasar novax sylarix cosyix,8,no,Zorblax
251,quantaz nanozom mechan synapz,2,yes,Nexoon
252,zephyv faunar faunar,4,yes,Florian
253,xeno quawar pulsom orbitaz,8,yes,Zorblax
254,quasar solarix orbitaz,4,no,Quixnar
255,orbitaz orbitaz novum,4,no,Quixnar
256,gaiax aquos foliar rootix gaiax terram rootix,3,no,Aquari
257,fenix sadax gryphox drakos magix,4,no,Faerix
258,datax circux biotex digitron techix virtua aeon mechan,1,no,Cybex
259,novax novara astron nebulae glixx glixx galaxum,4,yes,Zorblax
260,centarex lorix fajulon fenix fenix titanos legax,4,yes,Mythron
261,faeriy sirenix lorlx faerix sirenix herox magix,4,no,Faerix
262,novum xeno nbbuz vortex pulsar astron warpz,7,yes,Zorblax
263,legax nympha fenix nympha relikum,5,no,Faerix
264,orbitaz zoyp xeto,6,yes,Zorblax
265,saxax mythox cyclopix faerix griphox centarex beastix,8,yes,Mythron
266,cybrex techix biotex circux cybrex mechan ueon techix,4,yes,Cybex
267,aviana nimbus faunar floraz biomar,2,yes,Florian
268,cosmix meteorn metevrn galaxum,7,no,Zorblax
269,celestar xeno xulsar,9,yes,Zorblax
270,circux lazeron virtua neuraz neuraz digitron techix,1,no,Cybex
271,novara nebulax kometa novara pulsas meteorn,3,no,Quixnar
272,sadix shahex empathix fearix,1,no,Emotivor
273,ffnix gryphox krakos epikoz cyclofix mermax nympha gryphox,4,no,Faerix
274,deitax unikor herox,4,no,Faerix
275,pulxar sterdux warpz quasar galaxum galaxum,5,yes,Zorblax
276,warpz novum uflx,8,no,Zorblax
277,herba terranix foliar gaiax,2,yes,Florian
278,synapz algorix cybron cybrex,2,no,Cybex
279,rootix tezranix floran zephyr soluw,2,no,Aquari
280,calmox disgux empathix gleex raghx ykstax awezom,5,yes,Sentire
281,sirenix nympha drakoo sagax sagax fanrix,5,yes,Mythron
282,hopjum zenzx fearix awezom shockus shamex dredax cblmox,5,yes,Sentire
283,nimbus ekos ekos seepod rootix rootiw,2,no,Aquari
284,trustix shamex hopium bhamex zenox furio,2,no,Emotivor
285,aviana solux pollex pluvia terranix sporzom aquos aquos,3,no,Aquari
286,cybrex dronix syeapz nanobyt nanobyt mechan,2,no,Cybex
287,biomar arbor floraz fahnar,2,no,Aquari
288,aviana solux aviava solbx nimbus nimbus arbor,4,no,Aquari
289,techit techix nexcs lazeron datax,2,no,Cybex
290,mermad titagos ieastix relikum,4,no,Faerix
291,blissam angstix ragex calmox,0,no,Emotivor
292,shamex pridius sorrowz fearix dlissam ekstax excitar,1,no,Emotivor
293,terranix biomar seepod zephyr,1,yes,Florian
294,fabuion drakos lorix relikum cyclopix,4,yes,Mythron
295,codex cybrex algorix synapz mechan nanozom dotax,5,yes,Nexoon
296,centarex mythox nympha krakos,3,yes,Mythron
297,orbitaz astron glixx novara novrm ufox qcasar gulsar,3,no,Quixnar
298,blissam sorrowz blissam fearix sadix,2,no,Emotivor
